CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
24,2,2016,1,10,2016,H1B,DISCOVER PRODUCTS INC,IL,UNITED STATES OF AMERICA,ANALYSTS,522210,1,Y,59197,Year,OES,2015,OFLC ONLINE DATA CENTER,65811,67320,Year,N,N,IL,60015,CERTIFIEDWITHDRAWN
4,3,2016,1,10,2016,H1B,DFS SERVICES LLC,IL,UNITED STATES OF AMERICA,ANALYSTS,522210,1,Y,49800,Year,Other,2015,WILLIS TOWERS WATSON SURVEY,53000,57200,Year,N,N,IL,60015,CERTIFIEDWITHDRAWN
10,3,2016,1,10,2016,H1B,EASTBANC TECHNOLOGIES LLC,DC,UNITED STATES OF AMERICA,ANALYSTS,541511,2,Y,76502,Year,OES,2015,OFLC ONLINE DATA CENTER,77000,0,Year,Y,N,DC,20007,CERTIFIEDWITHDRAWN
28,9,2016,1,10,2016,H1B,INFO SERVICES LLC,MI,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,90376,Year,OES,2016,OFLC ONLINE DATA CENTER,102000,0,Year,Y,N,NJ,7302,WITHDRAWN
22,2,2015,2,10,2016,H1B,BBandT CORPORATION,NC,UNITED STATES OF AMERICA,ANALYSTS,522110,1,Y,116605,Year,OES,2015,OFLC ONLINE DATA CENTER,132500,0,Year,N,N,NY,10036,CERTIFIEDWITHDRAWN
12,3,2015,2,10,2016,H1B,SUNTRUST BANKS INC,GA,UNITED STATES OF AMERICA,ANALYSTS,522110,1,Y,59405,Year,OES,2015,OFLC ONLINE DATA CENTER,71750,0,Year,N,N,GA,30303,CERTIFIEDWITHDRAWN
25,2,2016,2,10,2016,H1B,CITADEL INFORMATION SERVICES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,52915,Year,Other,2015,ONLINE WAGE LIBRARY,61000,0,Year,Y,N,NJ,8837,CERTIFIEDWITHDRAWN
25,2,2016,2,10,2016,H1B,CITADEL INFORMATION SERVICES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,51730,Year,Other,2015,ONLINE WAGE LIBRARY,60500,0,Year,Y,N,NJ,8837,CERTIFIEDWITHDRAWN
27,2,2016,2,10,2016,H1B,CITADEL INFORMATION SERVICES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,58053,Year,Other,2015,ONLINE WAGE LIBRARY,60450,0,Year,Y,N,NY,10005,CERTIFIEDWITHDRAWN
28,2,2016,2,10,2016,H1B,CITADEL INFORMATION SERVICES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,46821,Year,Other,2015,ONLINE WAGE LIBRARY,50000,0,Year,Y,N,NJ,8830,CERTIFIEDWITHDRAWN
29,2,2016,2,10,2016,H1B,CITADEL INFORMATION SERVICES INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,58053,Year,Other,2015,ONLINE WAGE LIBRARY,60400,0,Year,Y,N,NY,10010,CERTIFIEDWITHDRAWN
23,3,2016,2,10,2016,H1B,ADVANCED TECHNOLOGY GROUP USA INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,63170,Year,Other,2015,ONLINE WAGE LIBRARY,63200,0,Year,Y,N,NJ,8540,CERTIFIEDWITHDRAWN
23,3,2016,2,10,2016,H1B,ADVANCED TECHNOLOGY GROUP USA INC,NJ,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541511,1,Y,51730,Year,Other,2015,ONLINE WAGE LIBRARY,60100,0,Year,Y,N,NJ,8901,CERTIFIEDWITHDRAWN
23,3,2016,2,10,2016,H1B,ADVANCED TECHNOLOGY GROUP USA INC,NJ,UNITED STATES OF AMERICA,FINANCE,541511,1,Y,63877,Year,Other,2015,ONLINE WAGE LIBRARY,64000,0,Year,Y,N,NJ,8901,CERTIFIEDWITHDRAWN
23,3,2016,2,10,2016,H1B,ADVANCED TECHNOLOGY GROUP USA INC,NJ,UNITED STATES OF AMERICA,FINANCE,541511,1,Y,51730,Year,Other,2015,ONLINE WAGE LIBRARY,60000,0,Year,Y,N,NJ,8901,CERTIFIEDWITHDRAWN
24,3,2016,2,10,2016,H1B,ADVANCED TECHNOLOGY GROUP USA INC,NJ,UNITED STATES OF AMERICA,MARKETING,541511,1,Y,63877,Year,Other,2015,ONLINE WAGE LIBRARY,65000,0,Year,Y,N,NJ,8901,CERTIFIEDWITHDRAWN
2,10,2016,2,10,2016,H1B,ITAS INC,IN,UNITED STATES OF AMERICA,COMPUTER OCCUPATION,541519,1,Y,54600,Year,OES,2016,OFLC ONLINE DATA CENTER,55000,0,Year,N,N,NY,11747,WITHDRAWN
17,9,2013,3,10,2016,H1B,BATTELLE,WA,UNITED STATES OF AMERICA,EDUCATION,541700,1,Y,39853,Year,Other,2013,OFLC ONLINE DATA CENTER,60000,0,Year,N,N,WA,99354,CERTIFIEDWITHDRAWN
18,9,2013,3,10,2016,H1B,HARMONY SCIENCE ACADEMY HOUSTON HIGH,TX,UNITED STATES OF AMERICA,EDUCATION,611110,1,Y,43110,Year,OES,2013,OFLC ONLINE DATA CENTER,43110,0,Year,N,N,TX,77099,CERTIFIEDWITHDRAWN
18,9,2013,3,10,2016,H1B,HARMONY SCIENCE ACADEMY WACO,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,611110,1,Y,38970,Year,OES,2013,OFLC ONLINE DATA CENTER,38970,0,Year,N,N,TX,76710,CERTIFIEDWITHDRAWN
23,9,2013,3,10,2016,H1B,IDC TECHNOLOGIES INC,CA,UNITED STATES OF AMERICA,ACCOUNTANTS,541511,1,Y,96845,Year,Other,2013,OFLC ONLINE DATA CENTER,104000,0,Year,Y,N,CA,95035,CERTIFIEDWITHDRAWN
